polygon-label,a,b,c
46,4,16,3
46,4,10,14
46,8,10,3
46,8,12,10
46,8,12,7
46,8,16,7
46,8,16,3
46,1,9,10
46,1,13,9
46,1,12,10
46,6,16,17
46,6,0,17
46,5,12,7
46,5,1,12
46,5,13,7
46,5,1,13
46,11,6,16
46,2,6,0
46,2,11,6
46,2,0,9
46,2,9,14
46,2,4,14
46,2,4,16
46,2,11,16
47,2,12,5
47,2,16,5
47,13,12,5
47,11,12,14
47,11,13,12
47,11,13,15
47,9,16,5
47,9,13,5
47,9,13,15
47,8,12,14
47,8,2,12
47,4,9,15
47,4,9,16
47,4,8,14
47,4,2,16
47,4,8,2
47,7,11,15
47,7,4,15
47,7,11,14
47,7,4,14
48,8,15,1
48,8,0,1
48,6,9,3
48,6,8,3
48,16,8,15
48,11,15,1
48,11,4,1
48,11,4,15
48,17,4,15
48,17,4,9
48,17,16,15
48,17,6,9
48,17,16,6
48,5,4,9
48,5,9,3
48,5,4,1
48,10,6,8
48,10,16,8
48,10,16,6
48,7,0,1
48,7,5,1
48,7,8,0
48,7,8,3
48,7,5,3
49,7,8,1
49,7,0,1
49,4,8,2
49,4,8,1
49,6,0,1
49,5,4,2
49,5,4,1
49,5,6,2
49,5,6,1
49,3,8,2
49,3,6,2
49,3,7,8
49,3,7,0
49,3,6,0
50,1,8,0
50,3,8,0
50,3,6,8
50,3,12,0
50,4,13,15
50,14,1,15
50,14,1,8
50,9,1,15
50,9,4,15
50,9,4,12
50,16,12,6
50,16,3,6
50,16,3,12
50,7,6,8
50,7,14,8
50,7,4,6
50,7,4,13
50,7,13,15
50,7,14,15
50,10,12,6
50,10,4,6
50,10,4,12
50,5,9,12
50,5,9,1
50,5,12,0
50,5,1,0
51,14,10,7
51,14,10,1
51,3,2,8
51,3,2,10
51,3,9,7
51,4,14,1
51,4,9,7
51,4,14,7
51,11,12,9
51,13,12,9
51,13,3,9
51,13,12,8
51,13,3,8
51,0,10,7
51,0,3,7
51,0,3,10
51,6,11,9
51,6,4,1
51,6,4,9
51,5,11,12
51,5,6,11
51,5,12,8
51,5,6,1
51,5,2,8
51,5,10,1
51,5,2,10
52,4,6,5
52,1,4,5
52,1,4,7
52,0,4,7
52,0,4,6
52,3,6,5
52,3,1,5
52,3,1,6
52,2,1,7
52,2,1,6
52,2,0,7
52,2,0,6
53,7,5,2
53,7,8,5
53,11,5,14
53,3,5,2
53,3,5,14
53,15,16,12
53,15,16,14
53,0,16,12
53,0,11,12
53,0,8,5
53,0,11,5
53,1,0,8
53,1,0,16
53,1,3,2
53,1,16,14
53,1,3,14
53,1,7,2
53,1,7,8
53,4,15,12
53,4,15,14
53,4,11,12
53,4,11,14
54,8,1,0
54,5,6,0
54,5,1,0
54,4,6,0
54,4,8,0
54,4,1,6
54,4,8,1
54,3,1,6
54,3,5,6
54,3,5,1
55,8,13,2
55,8,13,3
55,1,13,2
55,1,13,10
55,1,6,2
55,1,6,10
55,9,13,10
55,0,6,10
55,0,9,3
55,0,9,10
55,0,8,3
55,0,8,6
55,4,6,2
55,4,8,2
55,4,8,6
55,11,13,3
55,11,9,3
55,11,9,13
56,3,11,5
56,10,4,6
56,0,4,6
56,0,4,8
56,13,9,5
56,13,11,5
56,2,4,8
56,2,13,8
56,2,13,11
56,2,10,11
56,2,10,4
56,7,9,5
56,7,10,9
56,7,3,5
56,7,3,11
56,7,10,11
56,12,0,8
56,12,13,8
56,12,13,9
56,12,0,6
56,12,10,6
56,12,10,9
57,1,10,0
57,4,1,0
57,4,10,9
57,4,1,10
57,3,11,6
57,3,11,10
57,3,0,6
57,3,10,0
57,2,10,9
57,8,7,9
57,8,2,9
57,8,11,10
57,8,2,10
57,5,7,9
57,5,4,9
57,5,4,7
57,13,4,0
57,13,4,7
57,12,8,7
57,12,0,6
57,12,11,6
57,12,8,11
57,14,13,0
57,14,13,7
57,14,12,0
57,14,12,7
58,9,6,1
58,5,6,1
58,5,9,1
58,5,2,9
58,8,9,6
58,3,5,6
58,7,2,9
58,7,8,9
58,7,8,6
58,7,3,6
58,7,5,2
58,7,3,5
59,0,3,4
59,1,7,4
59,1,0,4
59,5,3,4
59,5,7,4
59,5,7,3
59,2,7,3
59,2,1,3
59,2,1,7
59,6,0,3
59,6,1,3
59,6,1,0
60,0,8,13
60,4,0,13
60,4,0,8
60,1,2,13
60,1,2,3
60,12,2,3
60,11,4,13
60,11,1,13
60,11,1,3
60,10,12,3
60,10,12,8
60,6,12,8
60,6,12,2
60,6,8,13
60,6,2,13
60,5,4,8
60,5,10,8
60,5,10,3
60,5,11,3
60,5,11,4
61,3,2,8
61,6,2,9
61,6,3,2
61,0,10,9
61,0,10,8
61,0,6,9
61,0,3,8
61,0,6,3
61,5,2,9
61,11,2,8
61,11,10,8
61,11,5,2
61,11,5,10
61,7,10,9
61,7,5,9
61,7,5,10
62,13,15,8
62,13,15,17
62,6,15,8
62,11,15,17
62,3,9,7
62,1,13,8
62,1,7,8
62,1,9,7
62,10,13,17
62,10,3,17
62,10,3,9
62,10,1,13
62,12,7,8
62,12,6,8
62,12,6,7
62,16,6,7
62,16,6,15
62,16,11,17
62,16,3,17
62,16,3,7
62,2,1,9
62,2,10,9
62,2,10,1
62,0,11,15
62,0,16,15
62,0,16,11
63,5,3,0
63,8,3,0
63,8,6,3
63,8,12,0
63,8,12,6
63,11,5,14
63,11,5,3
63,11,10,14
63,13,6,14
63,13,12,6
63,2,6,14
63,2,10,14
63,1,13,12
63,1,12,0
63,9,11,10
63,9,2,10
63,9,2,6
63,9,6,3
63,9,11,3
63,4,1,13
63,4,5,14
63,4,13,14
63,7,1,0
63,7,4,1
63,7,5,0
63,7,4,5
64,4,8,1
64,4,6,1
64,5,6,0
64,5,6,7
64,5,8,0
64,5,8,7
64,9,6,0
64,9,6,1
64,2,6,7
64,2,4,6
64,2,8,7
64,2,4,8
64,3,8,1
64,3,9,1
64,3,8,0
64,3,9,0
65,11,2,0
65,9,11,2
65,1,11,0
65,14,9,4
65,12,2,0
65,12,7,2
65,6,5,0
65,6,7,5
65,6,12,0
65,6,12,7
65,8,7,5
65,8,14,4
65,8,14,5
65,8,7,2
65,8,9,4
65,8,9,2
65,3,9,11
65,3,14,9
65,10,14,5
65,10,5,0
65,10,1,0
65,10,1,11
65,10,3,11
65,10,3,14
66,2,0,6
66,13,0,6
66,13,11,6
66,12,2,0
66,4,12,1
66,4,12,2
66,8,7,1
66,8,12,1
66,15,7,1
66,5,4,1
66,5,4,11
66,5,15,1
66,5,15,11
66,9,11,6
66,9,4,11
66,9,2,6
66,9,4,2
66,3,12,0
66,3,8,12
66,10,13,11
66,10,15,11
66,14,8,7
66,14,3,8
66,14,15,7
66,14,13,0
66,14,3,0
66,14,10,13
66,14,10,15
67,0,10,11
67,0,10,3
67,12,10,11
67,12,10,3
67,12,6,3
67,1,2,11
67,1,12,11
67,1,12,6
67,8,6,3
67,8,2,3
67,9,2,3
67,9,0,3
67,9,2,11
67,9,0,11
67,7,8,6
67,7,8,2
67,7,1,6
67,7,1,2
68,4,1,8
68,5,4,7
68,6,1,8
68,6,1,7
68,2,1,7
68,2,4,7
68,2,4,1
68,0,5,7
68,0,6,7
68,0,6,8
68,0,4,8
68,0,5,4
69,2,4,6
69,9,4,6
69,9,4,8
69,12,9,6
69,12,7,8
69,12,9,8
69,11,7,8
69,11,5,8
69,13,2,4
69,13,2,7
69,13,4,8
69,13,5,8
69,13,11,7
69,13,11,5
69,3,12,6
69,3,12,7
69,3,2,6
69,3,2,7
70,4,1,11
70,6,1,11
70,6,1,0
70,3,4,11
70,9,6,0
70,9,3,0
70,9,3,11
70,5,4,1
70,5,3,4
70,5,1,0
70,5,3,0
70,10,6,11
70,10,9,11
70,10,9,6
71,4,3,8
71,4,2,8
71,1,3,8
71,6,1,3
71,6,1,2
71,0,2,8
71,0,1,8
71,0,1,2
71,7,4,2
71,7,6,2
71,7,4,3
71,7,6,3
72,4,1,5
72,0,1,5
72,0,3,5
72,0,3,1
72,7,4,5
72,7,8,4
72,2,3,1
72,2,8,3
72,2,4,1
72,2,8,4
72,6,7,5
72,6,7,8
72,6,3,5
72,6,8,3
73,2,10,7
73,2,1,5
73,2,10,1
73,9,3,7
73,9,2,7
73,9,2,5
73,4,1,5
73,4,3,1
73,4,9,5
73,4,9,3
73,8,10,7
73,8,3,7
73,0,10,1
73,0,3,1
73,0,8,10
73,0,8,3
74,0,8,2
74,7,8,2
74,10,0,2
74,10,0,4
74,3,0,4
74,3,8,15
74,3,0,8
74,16,8,15
74,16,7,4
74,16,3,15
74,16,3,4
74,14,7,4
74,14,10,4
74,14,7,2
74,14,10,2
74,9,7,8
74,9,16,8
74,9,16,7
75,6,13,3
75,2,13,3
75,2,4,13
75,9,0,3
75,9,0,4
75,9,2,3
75,9,2,4
75,11,0,3
75,16,11,0
75,16,6,3
75,16,11,3
75,15,12,8
75,7,0,4
75,7,12,0
75,5,16,6
75,5,12,0
75,5,16,0
75,10,4,13
75,10,7,4
75,10,7,12
75,10,15,12
75,10,15,8
75,10,6,8
75,10,6,13
75,1,6,8
75,1,5,6
75,1,12,8
75,1,5,12
76,5,2,0
76,5,2,6
76,4,5,0
76,3,2,0
76,3,2,6
76,3,4,0
76,1,4,5
76,1,3,6
76,1,3,4
76,7,5,6
76,7,1,6
76,7,1,5
77,9,11,13
77,12,11,7
77,12,14,7
77,3,11,13
77,8,11,7
77,8,9,7
77,8,9,11
77,0,9,13
77,5,12,11
77,5,3,11
77,5,12,14
77,5,3,14
77,1,14,7
77,1,9,7
77,1,0,9
77,6,3,13
77,6,0,13
77,6,0,3
77,4,3,14
77,4,0,3
77,4,1,14
77,4,1,0
78,0,2,4
78,6,2,4
78,6,9,1
78,6,9,4
78,6,0,1
78,6,0,2
78,12,9,1
78,12,9,8
78,10,0,1
78,10,12,1
78,7,0,4
78,7,9,8
78,7,9,4
78,15,0,8
78,15,10,0
78,15,12,8
78,15,10,12
78,14,0,8
78,14,7,8
78,14,7,0
79,7,3,9
79,6,3,9
79,6,7,13
79,6,7,3
79,12,7,13
79,11,6,13
79,11,6,9
79,1,9,14
79,1,7,9
79,1,12,14
79,1,12,7
79,15,12,14
79,15,9,14
79,15,4,9
79,10,4,9
79,10,11,9
79,8,11,13
79,0,10,11
79,0,8,11
79,0,10,4
79,0,8,13
79,2,12,13
79,2,0,13
79,2,0,4
79,2,15,4
79,2,15,12
80,5,2,1
80,0,5,4
80,0,5,2
80,6,2,1
80,3,5,4
80,3,6,4
80,3,5,1
80,3,6,1
80,8,0,2
80,8,6,2
80,8,0,4
80,8,6,4
81,9,11,10
81,6,8,10
81,6,11,10
81,3,8,12
81,3,9,12
81,3,9,8
81,7,8,10
81,7,9,10
81,7,9,8
81,5,8,12
81,5,6,8
81,1,5,12
81,0,6,11
81,0,5,6
81,0,1,5
81,0,1,12
81,0,9,12
81,0,9,11
82,2,8,5
82,1,6,5
82,1,6,3
82,4,6,5
82,4,8,5
82,7,6,3
82,7,2,3
82,7,2,8
82,0,2,3
82,0,1,3
82,0,2,5
82,0,1,5
82,9,4,6
82,9,4,8
82,9,7,6
82,9,7,8
83,9,7,11
83,4,10,0
83,8,4,11
83,8,4,10
83,8,9,11
83,8,13,10
83,8,13,9
83,12,7,11
83,12,4,11
83,12,4,0
83,3,9,7
83,3,13,7
83,3,13,9
83,2,12,0
83,2,12,7
83,5,10,0
83,5,13,10
83,1,13,7
83,1,2,7
83,1,5,13
83,1,2,0
83,1,5,0
84,11,12,6
84,11,5,6
84,13,11,5
84,3,12,6
84,3,8,12
84,0,2,12
84,0,8,12
84,0,8,2
84,10,2,12
84,10,11,12
84,9,13,6
84,9,8,2
84,9,3,6
84,9,3,8
84,9,13,11
84,4,5,6
84,4,13,6
84,4,13,5
84,7,10,11
84,7,9,11
84,7,10,2
84,7,9,2
85,0,10,12
85,2,10,8
85,2,10,12
85,7,0,12
85,7,11,0
85,7,2,12
85,3,0,10
85,3,10,8
85,3,4,8
85,9,11,8
85,9,5,8
85,6,2,8
85,6,7,2
85,6,11,8
85,6,7,11
85,13,9,5
85,13,5,8
85,13,11,0
85,13,9,11
85,13,4,8
85,13,3,0
85,13,3,4
86,4,3,5
86,7,6,1
86,0,4,6
86,0,4,3
86,0,6,1
86,0,3,1
86,2,7,1
86,2,3,5
86,2,3,1
86,8,2,5
86,8,2,7
86,8,7,6
86,8,4,5
86,8,4,6
87,5,4,2
87,1,4,2
87,1,5,2
87,6,5,4
87,0,1,7
87,0,1,4
87,0,6,4
87,0,6,5
87,3,1,7
87,3,1,5
87,3,0,7
87,3,0,5
88,5,7,2
88,5,1,7
88,6,7,2
88,6,1,2
88,6,1,7
88,0,1,2
88,0,5,2
88,0,5,1
89,10,6,1
89,9,6,0
89,9,6,1
89,9,5,0
89,4,6,0
89,4,10,0
89,4,10,6
89,11,10,0
89,11,5,0
89,11,5,10
89,12,10,1
89,12,5,10
89,12,9,1
89,12,9,5
90,7,6,3
90,7,6,4
90,2,6,3
90,8,2,3
90,8,7,3
90,5,6,4
90,5,2,6
90,0,8,2
90,0,5,4
90,0,5,2
90,0,7,4
90,0,8,7
91,0,5,7
91,0,5,1
91,2,5,1
91,2,0,7
91,2,0,1
91,4,5,7
91,4,2,5
91,6,2,7
91,6,4,7
91,6,4,2
92,8,4,12
92,6,9,12
92,13,9,12
92,13,4,12
92,10,8,12
92,10,6,12
92,10,6,8
92,1,5,4
92,1,13,9
92,1,13,4
92,1,11,9
92,7,8,4
92,7,5,4
92,7,1,5
92,7,1,11
92,3,7,11
92,3,6,9
92,3,11,9
92,3,6,8
92,3,7,8
93,4,2,6
93,3,2,5
93,3,4,2
93,8,2,6
93,8,0,6
93,8,2,5
93,8,0,5
93,7,4,6
93,7,0,6
93,7,0,5
93,7,3,5
93,7,3,4
94,2,12,10
94,2,12,7
94,2,0,10
94,2,0,7
94,6,12,10
94,6,5,12
94,4,0,10
94,4,0,5
94,4,6,10
94,4,6,5
94,9,12,7
94,9,5,12
94,8,0,5
94,8,9,5
94,8,0,7
94,8,9,7
95,11,0,4
95,3,1,4
95,3,1,14
95,3,11,4
95,3,0,14
95,3,11,0
95,8,0,4
95,8,6,0
95,8,1,4
95,8,6,1
95,2,1,10
95,2,6,1
95,2,6,0
95,2,7,10
95,2,7,0
95,15,7,10
95,15,7,14
95,15,1,10
95,15,1,14
95,16,7,14
95,16,7,0
95,12,16,14
95,12,16,0
95,13,0,14
95,13,12,14
95,13,12,0
96,7,3,14
96,6,3,10
96,6,9,3
96,2,3,14
96,2,9,3
96,1,7,3
96,4,2,9
96,4,6,9
96,8,3,10
96,8,1,3
96,16,7,14
96,12,6,10
96,0,8,10
96,0,8,1
96,0,12,10
96,17,4,2
96,17,16,4
96,17,2,14
96,17,16,14
96,13,4,6
96,13,12,6
96,15,16,4
96,15,13,4
96,15,0,1
96,15,0,12
96,15,13,12
96,15,1,7
96,15,16,7
97,6,5,1
97,4,10,5
97,11,5,1
97,11,10,1
97,9,4,7
97,9,4,5
97,0,10,1
97,0,6,1
97,3,10,5
97,3,11,5
97,3,11,10
97,8,0,6
97,8,9,7
97,8,4,7
97,8,6,5
97,8,9,5
97,8,4,10
